"Date","Q - m^3/s"
"1992.03.16","16.0"
"1992.03.17","18.0"
"1992.03.18","16.9"
"1992.03.19","18.0"
"1992.03.20","19.5"
"1992.03.21","20.0"
"1992.03.22","19.5"
"1992.03.23","19.9"
"1992.03.24","17.1"
"1992.03.25","16.9"
"1992.03.26","16.7"
"1992.03.27","20.5"
"1992.03.28","24.4"
"1992.03.29","22.2"
"1992.03.30","18.9"
"1992.03.31","15.9"
"1992.04.01","16.0"
"1992.04.02","17.6"
"1992.04.03","16.4"
"1992.04.04","19.7"
"1992.04.05","18.8"
"1992.04.06","20.2"
"1992.04.07","18.2"
"1992.04.08","22.2"
"1992.04.09","24.0"
"1992.04.10","29.0"
"1992.04.11","25.1"
"1992.04.12","24.4"
"1992.04.13","30.8"
"1992.04.14","29.4"
"1992.04.15","29.6"
"1992.04.16","26.1"
"1992.04.17","22.1"
"1992.04.18","22.4"
"1992.04.19","22.5"
"1992.04.20","28.9"
"1992.04.21","32.8"
"1992.04.22","25.9"
"1992.04.23","19.5"
"1992.04.24","22.2"
"1992.04.25","21.2"
"1992.04.26","20.5"
"1992.04.27","21.0"
"1992.04.28","22.3"
"1992.04.29","25.7"
"1992.04.30","29.5"
"1992.05.01","25.1"
"1992.05.02","27.3"
"1992.05.03","31.0"
"1992.05.04","26.5"
"1992.05.05","25.5"
"1992.05.06","28.6"
"1992.05.07","29.1"
"1992.05.08","35.4"
"1992.05.09","32.9"
"1992.05.10","35.2"
"1992.05.11","37.4"
"1992.05.12","39.0"
"1992.05.13","43.7"
"1992.05.14","40.6"
"1992.05.15","40.6"
"1992.05.16","50.1"
"1992.05.17","47.1"
"1992.05.18","38.1"
"1992.05.19","33.1"
"1992.05.20","28.1"
"1992.05.21","25.5"
"1992.05.22","25.1"
"1992.05.23","23.5"
"1992.05.24","26.2"
"1992.05.25","26.6"
"1992.05.26","58.5"
"1992.05.27","41.8"
"1992.05.28","40.6"
"1992.05.29","46.7"
"1992.05.30","45.2"
"1992.05.31","36.5"
"1992.06.01","37.3"
"1992.06.02","42.6"
"1992.06.03","43.5"
"1992.06.04","45.2"
"1992.06.05","46.0"
"1992.06.06","49.6"
"1992.06.07","75.1"
"1992.06.08","58.1"
"1992.06.09","55.0"
"1992.06.10","47.0"
"1992.06.11","55.0"
"1992.06.12","56.9"
"1992.06.13","61.5"
"1992.06.14","78.7"
"1992.06.15","86.6"
"1992.06.16","98.4"
"1992.06.17","98.2"
"1992.06.18","116.0"
"1992.06.19","167.0"
"1992.06.20","248.0"
"1992.06.21","146.0"
"1992.06.22","288.0"
"1992.06.23","212.0"
"1992.06.24","184.0"
"1992.06.25","191.0"
"1992.06.26","158.0"
"1992.06.27","150.0"
"1992.06.28","150.0"
"1992.06.29","161.0"
"1992.06.30","165.0"
"1992.07.01","159.0"
"1992.07.02","148.0"
"1992.07.03","160.0"
"1992.07.04","172.0"
"1992.07.05","199.0"
"1992.07.06","223.0"
"1992.07.07","170.0"
"1992.07.08","211.0"
"1992.07.09","202.0"
"1992.07.10","212.0"
"1992.07.11","258.0"
"1992.07.12","271.0"
"1992.07.13","272.0"
"1992.07.14","219.0"
"1992.07.15","199.0"
"1992.07.16","300.0"
"1992.07.17","394.0"
"1992.07.18","321.0"
"1992.07.19","469.0"
"1992.07.20","508.0"
"1992.07.21","525.0"
"1992.07.22","381.0"
"1992.07.23","1178.0"
"1992.07.24","707.0"
"1992.07.25","607.0"
"1992.07.26","486.0"
"1992.07.27","391.0"
"1992.07.28","576.0"
"1992.07.29","379.0"
"1992.07.30","475.0"
"1992.07.31","1134.0"
"1992.08.01","801.0"
"1992.08.02","996.0"
"1992.08.03","866.0"
"1992.08.04","648.0"
"1992.08.05","695.0"
"1992.08.06","1055.0"
"1992.08.07","846.0"
"1992.08.08","729.0"
"1992.08.09","617.0"
"1992.08.10","570.0"
"1992.08.11","476.0"
"1992.08.12","447.0"
"1992.08.13","431.0"
"1992.08.14","886.0"
"1992.08.15","761.0"
"1992.08.16","617.0"
"1992.08.17","717.0"
"1992.08.18","637.0"
"1992.08.19","672.0"
"1992.08.20","677.0"
"1992.08.21","897.0"
"1992.08.22","952.0"
"1992.08.23","1281.0"
"1992.08.24","1335.0"
"1992.08.25","1075.0"
"1992.08.26","924.0"
"1992.08.27","819.0"
"1992.08.28","722.0"
"1992.08.29","603.0"
"1992.08.30","639.0"
"1992.08.31","545.0"
"1992.09.01","511.0"
"1992.09.02","525.0"
"1992.09.03","445.0"
"1992.09.04","481.0"
"1992.09.05","498.0"
"1992.09.06","508.0"
"1992.09.07","541.0"
"1992.09.08","606.0"
"1992.09.09","460.0"
"1992.09.10","393.0"
"1992.09.11","435.0"
"1992.09.12","583.0"
"1992.09.13","598.0"
"1992.09.14","620.0"
"1992.09.15","536.0"
"1992.09.16","425.0"
"1992.09.17","374.0"
"1992.09.18","346.0"
"1992.09.19","324.0"
"1992.09.20","276.0"
"1992.09.21","245.0"
"1992.09.22","232.0"
"1992.09.23","241.0"
"1992.09.24","216.0"
"1992.09.25","206.0"
"1992.09.26","188.0"
"1992.09.27","214.0"
"1992.09.28","248.0"
"1992.09.29","266.0"
"1992.09.30","223.0"
"1992.10.01","198.0"
"1992.10.02","183.0"
"1992.10.03","179.0"
"1992.10.04","161.0"
